nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT00844597,Cohort 6 - 20.0 mg/kg/wk,eteplirsen,exposed,0,4,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
NCT00858208,Pegaptanib,pegaptanib,exposed,0,85,0,0,0,0,none,0,intravitreal,0,Neovascular Age-related Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01100307,Pegaptanib Sodium (Baseline to Week 24),pegaptanib,exposed,0,123,0,0,0,0,none,0,intravitreal,0,Macular Edema; Diabetic Mellitus; Retinal Disease,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01100307,Pegaptanib Sodium (Baseline to Week 54),pegaptanib,exposed,0,123,0,0,0,0,none,0,intravitreal,0,Macular Edema; Diabetic Mellitus; Retinal Disease,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01100307,Sham (Baseline to Week 24),placebo_or_sham_control,comparator,1,120,0,0,0,0,none,0,intravitreal,0,Macular Edema; Diabetic Mellitus; Retinal Disease,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT01100307,Sham Conversion (Week 24 to Week 54),placebo_or_sham_control,comparator,1,112,0,0,0,0,none,0,intravitreal,0,Macular Edema; Diabetic Mellitus; Retinal Disease,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT01189461,Macugen,pegaptanib,exposed,0,46,0,0,0,0,none,0,NOT_REPORTED,0,Anti- VGF Inhibitor; Diabetic Macular Edema; Diabetic Retinopathy,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01245387,Macugen,pegaptanib,exposed,0,816,0,0,0,0,none,0,intravitreal,0,Macular Degeneration; Age-related Macular Degeneration; Neovascular Macular Dege,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01396239,AVI-4658 (Eteplirsen) - 30mg/kg,eteplirsen,exposed,0,4,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
NCT01396239,AVI-4658 (Eteplirsen) - 50mg/kg,eteplirsen,exposed,0,4,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,PMO,PMO_neutral,NOT_REPORTED,0,COMPLETED,1
NCT01396239,Placebo,placebo_or_sham_control,comparator,1,4,0,0,0,0,none,0,intravenous,0,Duchenne Muscular Dystrophy,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT01475825,"Regimen A: Mipomersen, 200 mg, Once Weekly",mipomersen,exposed,0,104,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Heterozygous Familial,ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT01475825,"Regimen A: Placebo, Once Weekly",placebo_or_sham_control,comparator,1,51,0,0,0,0,none,0,subcutaneous,0,Hypercholesterolemia; Heterozygous Familial,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
